,contestId,index,rating,tags
627,1690,C,800,"['data structures', 'greedy', 'implementation']"
629,1690,D,1000,"['implementation', 'two pointers']"
635,1690,B,800,"['greedy', 'implementation']"
636,1690,A,800,"['constructive algorithms', 'greedy']"
645,1682,C,1400,"['constructive algorithms', 'greedy', 'implementation', 'math']"
648,126,B,1700,"['binary search', 'dp', 'hashing', 'string suffix structures', 'strings']"
651,236,A,800,"['brute force', 'implementation', 'strings']"
652,1688,C,1700,"['constructive algorithms', 'greedy', 'strings']"
655,1688,D,1600,"['greedy', 'implementation', 'math']"
657,1688,B,800,"['bitmasks', 'constructive algorithms', 'greedy', 'sortings']"
659,1688,A,800,"['bitmasks', 'brute force']"
660,1535,B,900,"['brute force', 'greedy', 'math', 'number theory', 'sortings']"
666,1676,F,1300,"['data structures', 'greedy', 'implementation', 'sortings', 'two pointers']"
667,339,B,1000,['implementation']
668,1691,D,1800,"['binary search', 'constructive algorithms', 'data structures', 'divide and conquer', 'implementation', 'two pointers']"
670,214,A,800,['brute force']
677,1607,C,1000,"['brute force', 'sortings']"
678,380,C,2000,"['data structures', 'schedules']"
682,1691,C,1400,"['brute force', 'constructive algorithms', 'greedy', 'math', 'strings']"
683,1691,B,1000,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']"
684,1691,A,800,"['brute force', 'greedy', 'math']"
685,348,A,1600,"['binary search', 'math', 'sortings']"
687,75,C,1600,"['binary search', 'number theory']"
688,295,A,1400,"['data structures', 'implementation']"
699,476,B,1300,"['bitmasks', 'brute force', 'combinatorics', 'dp', 'math', 'probabilities']"
701,277,A,1400,"['dfs and similar', 'dsu']"
705,122,A,1000,"['brute force', 'number theory']"
706,1686,C,1100,"['constructive algorithms', 'greedy', 'sortings']"
710,1686,A,800,['greedy']
711,1686,B,800,"['dp', 'greedy']"
712,1684,H,3400,"['constructive algorithms', 'dfs and similar', 'divide and conquer', 'math']"
714,1679,C,1400,"['data structures', 'implementation']"
721,1539,C,1200,"['greedy', 'sortings']"
730,1684,E,2100,"['binary search', 'brute force', 'constructive algorithms', 'data structures', 'greedy', 'two pointers']"
733,1684,B,800,"['constructive algorithms', 'math']"
734,1684,C,1400,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'sortings']"
737,1684,A,800,"['constructive algorithms', 'games', 'math', 'strings']"
746,1680,F,2600,"['dfs and similar', 'divide and conquer', 'dsu', 'graphs', 'trees']"
747,1680,B,800,['implementation']
748,1680,A,800,"['brute force', 'math']"
749,1676,G,1300,"['dfs and similar', 'dp', 'graphs', 'trees']"
750,1676,H2,1500,"['data structures', 'divide and conquer', 'sortings']"
751,1676,H1,1400,['brute force']
753,1676,D,1000,"['brute force', 'greedy', 'implementation']"
759,1676,E,1100,"['binary search', 'greedy', 'sortings']"
760,1676,C,800,"['brute force', 'greedy', 'implementation', 'implementation', 'math', 'strings']"
761,1676,B,800,"['greedy', 'math', 'sortings']"
762,1676,A,800,['implementation']
763,1670,B,1100,"['brute force', 'implementation', 'strings']"
764,1670,A,800,"['greedy', 'implementation', 'sortings']"
765,1675,B,900,"['greedy', 'implementation']"
766,1675,D,1300,"['graphs', 'implementation', 'trees']"
769,1675,A,800,"['greedy', 'math']"
770,1648,B,1800,"['brute force', 'constructive algorithms', 'data structures', 'math']"
804,1674,F,1800,"['data structures', 'greedy', 'implementation']"
807,1671,D,1600,"['brute force', 'constructive algorithms', 'greedy']"
819,1674,E,2000,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'math']"
827,1674,D,1200,"['constructive algorithms', 'implementation', 'sortings']"
831,1663,A,,"['*special', 'expression parsing', 'trees']"
836,1674,C,1000,"['combinatorics', 'implementation', 'strings']"
838,1674,B,800,"['combinatorics', 'math']"
839,1674,A,800,"['constructive algorithms', 'math']"
840,165,E,2200,"['bitmasks', 'brute force', 'dfs and similar', 'dp']"
845,1673,B,1100,"['brute force', 'greedy', 'strings']"
846,1673,A,800,"['games', 'greedy', 'strings']"
848,1365,D,1700,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'implementation', 'shortest paths']"
859,484,A,1700,"['bitmasks', 'constructive algorithms']"
874,1350,B,1400,"['dp', 'math', 'number theory']"
875,1285,C,1400,"['brute force', 'math', 'number theory']"
877,1672,F1,2000,"['constructive algorithms', 'graphs', 'greedy']"
878,1672,C,1100,"['constructive algorithms', 'greedy', 'implementation']"
881,1672,B,800,"['constructive algorithms', 'implementation']"
888,1672,A,800,"['games', 'implementation', 'math']"
891,1671,C,1200,"['binary search', 'brute force', 'greedy', 'math']"
895,1671,B,1000,"['brute force', 'math', 'sortings']"
896,1671,A,800,['implementation']
897,1669,A,800,['implementation']
898,1669,B,800,"['implementation', 'sortings']"
899,1669,D,1100,['implementation']
900,1669,C,800,"['greedy', 'greedy', 'implementation', 'math']"
901,1669,G,1200,"['dfs and similar', 'implementation']"
902,1669,F,1100,"['binary search', 'data structures', 'greedy', 'two pointers']"
903,1669,H,1300,"['bitmasks', 'greedy', 'math']"
904,1669,E,1200,"['data structures', 'math', 'strings']"
913,1352,F,1500,"['constructive algorithms', 'dfs and similar', 'math']"
917,1352,G,1600,['constructive algorithms']
918,1659,D,1900,"['constructive algorithms', 'data structures', 'greedy', 'implementation', 'math', 'two pointers']"
919,1659,A,1000,"['constructive algorithms', 'greedy', 'implementation', 'math']"
920,1660,F1,1700,"['brute force', 'implementation', 'math', 'strings']"
923,234,C,1300,"['dp', 'implementation']"
926,1195,C,1400,['dp']
933,1661,D,1900,"['data structures', 'greedy']"
939,1665,C,1600,"['binary search', 'greedy', 'sortings', 'trees']"
949,1661,C,1700,"['binary search', 'greedy', 'math']"
968,1661,B,1300,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'graphs', 'greedy', 'shortest paths']"
971,1661,A,800,"['greedy', 'math']"
977,1665,B,900,"['constructive algorithms', 'greedy', 'sortings']"
978,1665,A,800,"['constructive algorithms', 'math']"
979,1651,D,1900,"['binary search', 'data structures', 'dfs and similar', 'graphs', 'shortest paths']"
984,20,C,1900,"['graphs', 'shortest paths']"
986,1663,B,,"['*special', 'divide and conquer', 'implementation', 'math']"
993,253,A,1100,['greedy']
994,1656,C,1200,"['constructive algorithms', 'math', 'number theory', 'sortings']"
996,1656,B,1100,"['data structures', 'greedy', 'math', 'two pointers']"
999,1656,A,800,"['math', 'sortings']"
1008,1654,C,1400,"['data structures', 'greedy', 'implementation', 'sortings']"
1019,1654,B,800,['strings']
1020,1654,A,800,"['brute force', 'greedy', 'implementation', 'sortings']"
1053,1651,B,800,"['constructive algorithms', 'greedy']"
1054,1651,A,800,['implementation']
1056,1650,D,1300,"['brute force', 'constructive algorithms', 'implementation', 'math']"
1057,1650,C,1200,"['greedy', 'hashing', 'implementation', 'sortings']"
1077,1650,B,900,['math']
1080,1650,A,800,"['implementation', 'strings']"
1081,1649,B,1300,"['greedy', 'implementation']"
1085,1649,A,800,['implementation']
1087,1646,C,1500,"['bitmasks', 'brute force', 'constructive algorithms', 'dp', 'math']"
1091,1646,B,800,"['brute force', 'constructive algorithms', 'greedy', 'sortings', 'two pointers']"
1093,1646,A,800,['math']
1094,602,A,1100,"['brute force', 'implementation']"
1095,1642,E,2200,"['binary search', 'data structures', 'sortings']"
1098,1642,C,1200,"['greedy', 'sortings']"
1108,1642,A,800,['geometry']
1109,1642,B,900,['greedy']
1125,1645,A,,"['*special', 'implementation']"
1126,1644,C,1400,"['brute force', 'dp', 'greedy', 'implementation']"
1132,1644,B,800,"['brute force', 'constructive algorithms', 'implementation']"
1134,1644,A,800,['implementation']
1135,279,C,1700,"['dp', 'implementation', 'two pointers']"
1164,404,C,1800,"['dfs and similar', 'graphs', 'sortings']"
1184,448,D,1800,"['binary search', 'brute force']"
1187,385,C,1700,"['binary search', 'brute force', 'data structures', 'dp', 'implementation', 'math', 'number theory']"
1210,463,C,1900,"['greedy', 'hashing', 'implementation']"
1233,276,D,1700,"['bitmasks', 'dp', 'greedy', 'implementation', 'math']"
1246,231,C,1600,"['binary search', 'sortings', 'two pointers']"
1257,448,C,1900,"['divide and conquer', 'dp', 'greedy']"
1260,1635,C,1200,"['constructive algorithms', 'greedy']"
1267,1635,B,800,['greedy']
1269,1635,A,800,"['bitmasks', 'greedy']"
1270,483,D,1800,"['constructive algorithms', 'data structures']"
1271,482,B,1800,"['constructive algorithms', 'data structures', 'trees']"
1285,1591,D,1900,"['constructive algorithms', 'data structures', 'math', 'sortings']"
1311,1585,D,1900,"['data structures', 'math']"
1328,493,C,1600,"['binary search', 'brute force', 'data structures', 'implementation', 'sortings', 'two pointers']"
1334,1411,B,1000,"['brute force', 'number theory']"
1339,1638,E,2400,"['brute force', 'data structures', 'implementation']"
1342,1638,D,2000,"['constructive algorithms', 'data structures', 'greedy', 'implementation']"
1364,1632,D,2000,"['binary search', 'data structures', 'greedy', 'math', 'number theory', 'two pointers']"
1372,1638,C,1300,"['data structures', 'dsu', 'graphs', 'math']"
1373,1638,B,1100,"['data structures', 'math', 'sortings']"
1379,1638,A,800,"['constructive algorithms', 'greedy', 'math']"
1380,1637,D,1800,"['dp', 'greedy', 'math']"
1381,292,E,1900,['data structures']
1385,474,F,2100,"['data structures', 'math', 'number theory']"
1390,1637,C,1200,"['greedy', 'implementation']"
1395,1637,B,1100,"['brute force', 'dp', 'greedy', 'math']"
1397,1637,A,800,"['brute force', 'sortings']"
1406,61,E,1900,"['data structures', 'trees']"
1414,459,D,1800,"['data structures', 'divide and conquer', 'sortings']"
1435,356,A,1500,"['data structures', 'dsu']"
1455,339,D,1700,"['data structures', 'trees']"
1458,460,C,1700,"['binary search', 'data structures', 'greedy']"
1460,1634,E,2400,"['constructive algorithms', 'data structures', 'dfs and similar', 'graph matchings', 'graphs']"
1461,1634,B,1400,"['bitmasks', 'math']"
1466,1634,C,1000,['constructive algorithms']
1467,1634,A,800,"['greedy', 'strings']"
1476,1632,C,1600,"['binary search', 'bitmasks', 'brute force', 'dp', 'math']"
1479,1632,B,1000,"['bitmasks', 'constructive algorithms']"
1487,1632,A,800,['implementation']
1501,1631,C,1500,"['bitmasks', 'constructive algorithms']"
1505,1631,E,2200,"['greedy', 'greedy', 'sortings', 'two pointers']"
1511,1631,B,1100,"['dp', 'greedy']"
1515,1631,A,800,['greedy']
1516,466,B,2000,"['brute force', 'math']"
1533,271,D,1800,"['data structures', 'strings']"
1549,486,D,2100,"['dfs and similar', 'dp', 'math', 'trees']"
1553,439,C,1700,"['brute force', 'constructive algorithms', 'implementation', 'number theory']"
1585,1629,C,1400,"['constructive algorithms', 'data structures', 'greedy', 'math', 'two pointers']"
1591,519,D,1800,"['data structures', 'dp', 'two pointers']"
1615,1629,D,1700,"['greedy', 'strings']"
1621,1629,B,800,"['greedy', 'math', 'number theory']"
1622,1629,A,800,"['brute force', 'greedy', 'sortings']"
1630,268,C,1500,"['constructive algorithms', 'implementation']"
1637,479,C,1400,"['greedy', 'sortings']"
1638,289,B,1400,"['brute force', 'dp', 'implementation', 'sortings', 'ternary search']"
1641,349,B,1700,"['data structures', 'dp', 'greedy', 'implementation']"
1645,478,C,1800,['greedy']
1647,369,C,1600,"['dfs and similar', 'graphs', 'trees']"
1655,441,C,1500,"['constructive algorithms', 'dfs and similar', 'implementation']"
1663,253,B,1400,"['binary search', 'dp', 'sortings', 'two pointers']"
1665,479,D,1700,"['binary search', 'greedy', 'implementation']"
1675,460,B,1500,"['brute force', 'implementation', 'math', 'number theory']"
1676,339,C,1700,"['constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'shortest paths']"
1681,1405,A,800,['constructive algorithms']
1683,1626,C,1700,"['binary search', 'data structures', 'dp', 'greedy', 'implementation', 'math', 'two pointers']"
1684,1626,B,1100,"['greedy', 'strings']"
1686,1626,A,800,"['constructive algorithms', 'sortings']"
1687,1627,B,1300,"['games', 'greedy', 'sortings']"
1688,1627,C,1400,"['constructive algorithms', 'dfs and similar', 'number theory', 'trees']"
1692,1627,A,800,"['constructive algorithms', 'implementation']"
1697,1624,D,1400,"['binary search', 'greedy', 'sortings', 'strings']"
1700,1625,C,1700,['dp']
1703,433,B,1200,"['dp', 'implementation', 'sortings']"
1704,463,B,1100,"['brute force', 'implementation', 'math']"
1705,483,B,1800,"['binary search', 'math']"
1707,1625,B,1100,"['brute force', 'greedy', 'sortings']"
1715,1625,A,800,"['bitmasks', 'greedy', 'math']"
1720,1624,C,1100,"['constructive algorithms', 'flows', 'graph matchings', 'greedy', 'math']"
1721,1624,B,900,"['implementation', 'math']"
1722,1624,A,800,['math']
1726,508,C,1600,"['constructive algorithms', 'greedy']"
1727,275,B,1700,"['constructive algorithms', 'implementation']"
1729,1621,B,1500,"['data structures', 'greedy', 'implementation']"
1741,1621,A,800,['constructive algorithms']
1746,427,C,1700,"['dfs and similar', 'graphs', 'two pointers']"
1750,382,C,1700,"['implementation', 'sortings']"
1768,246,D,1600,"['brute force', 'dfs and similar', 'graphs']"
1771,371,C,1600,"['binary search', 'brute force']"
1777,493,D,1700,"['constructive algorithms', 'games', 'math']"
1778,1616,D,2000,"['dp', 'greedy', 'math']"
1781,1616,C,1500,"['brute force', 'geometry', 'implementation', 'math']"
1784,1616,B,1100,"['greedy', 'strings']"
1788,1616,A,800,['implementation']
1789,1622,C,1600,"['binary search', 'brute force', 'greedy', 'sortings']"
1796,1623,C,1600,"['binary search', 'greedy']"
1801,1623,B,1100,"['brute force', 'dfs and similar', 'implementation', 'sortings']"
1804,1623,A,800,"['brute force', 'implementation', 'math']"
1816,1622,D,2000,"['combinatorics', 'math', 'two pointers']"
1817,1622,B,1000,"['data structures', 'greedy', 'math', 'sortings']"
1818,1622,A,800,"['geometry', 'math']"
1819,1615,C,1600,"['brute force', 'graphs', 'greedy', 'math']"
1820,1615,B,1300,"['bitmasks', 'greedy', 'math']"
1824,1615,A,800,"['greedy', 'math']"
1825,1504,C,1600,"['brute force', 'constructive algorithms', 'greedy']"
1826,1504,B,1200,"['constructive algorithms', 'greedy', 'implementation', 'math']"
1834,1504,A,800,"['constructive algorithms', 'strings']"
1835,300,C,1800,"['brute force', 'combinatorics']"
1853,496,C,1500,"['brute force', 'constructive algorithms', 'implementation']"
1865,443,B,1500,"['brute force', 'implementation', 'strings']"
1881,1620,E,1900,"['constructive algorithms', 'data structures', 'dsu', 'implementation']"
1886,1619,C,1200,['implementation']
1891,1619,B,800,"['implementation', 'math']"
1892,1619,A,800,"['implementation', 'strings']"
1894,501,C,1500,"['constructive algorithms', 'data structures', 'greedy', 'sortings', 'trees']"
1899,1620,A,800,"['constructive algorithms', 'dsu', 'implementation']"
1900,1620,B,1000,"['geometry', 'greedy', 'math']"
1902,1617,D1,1800,"['constructive algorithms', 'implementation', 'interactive']"
1927,1617,C,1300,"['binary search', 'greedy', 'math', 'sortings']"
1932,1617,A,800,"['constructive algorithms', 'greedy', 'sortings', 'strings']"
1934,1617,B,900,"['brute force', 'constructive algorithms', 'math', 'number theory']"
1939,1618,F,2000,"['bitmasks', 'constructive algorithms', 'dfs and similar', 'implementation', 'math', 'strings']"
1946,1618,E,1700,"['constructive algorithms', 'math']"
1947,1612,D,1600,"['math', 'number theory']"
1969,1618,C,1100,['math']
1974,1618,D,1300,"['dp', 'greedy', 'math']"
1975,1618,B,800,['implementation']
1976,1618,A,800,"['math', 'sortings']"
1989,1591,C,1300,"['greedy', 'math']"
1993,1591,B,900,['greedy']
1994,1591,A,800,['implementation']
1995,1608,C,1700,"['data structures', 'dfs and similar', 'dp', 'graphs', 'greedy', 'two pointers']"
1996,1608,B,1200,"['constructive algorithms', 'greedy']"
2007,1608,A,800,"['constructive algorithms', 'math']"
2008,1612,C,1300,"['binary search', 'math']"
2010,1614,C,1500,"['bitmasks', 'combinatorics', 'constructive algorithms', 'dp', 'math']"
2011,1606,C,1400,"['greedy', 'number theory']"
2012,1579,C,1500,"['greedy', 'implementation']"
2016,219,C,1600,"['brute force', 'dp', 'greedy']"
2021,505,C,1900,"['dfs and similar', 'dp', 'two pointers']"
2028,332,B,1500,"['data structures', 'dp', 'implementation']"
2032,96,A,900,"['implementation', 'strings']"
2043,257,C,1800,"['brute force', 'geometry', 'math']"
2069,437,C,1400,"['graphs', 'greedy', 'sortings']"
2073,152,C,1400,['combinatorics']
2074,550,C,1500,"['brute force', 'dp', 'math']"
2080,220,A,1300,"['implementation', 'sortings']"
2081,510,B,1500,['dfs and similar']
2084,1613,C,1200,['binary search']
2086,1459,B,1300,"['dp', 'math']"
2087,510,C,1600,"['dfs and similar', 'graphs', 'sortings']"
2093,1613,B,1000,"['greedy', 'implementation', 'sortings']"
2097,1613,A,900,"['implementation', 'math']"
2098,258,A,1100,"['greedy', 'math']"
2112,416,C,1600,"['binary search', 'dp', 'greedy', 'implementation']"
2114,272,C,1500,"['data structures', 'implementation']"
2117,217,A,1200,"['brute force', 'dfs and similar', 'dsu', 'graphs']"
2122,115,A,900,"['dfs and similar', 'graphs', 'trees']"
2126,456,A,1100,['sortings']
2131,1609,C,1400,"['binary search', 'dp', 'implementation', 'number theory', 'schedules', 'two pointers']"
2140,1611,D,1500,"['constructive algorithms', 'trees']"
